subject,predicate,object
CyC2018_CS-Notes,has_description,这是一个全面的计算机科学学习笔记仓库，涵盖了算法、操作系统、网络、数据库、Java、系统设计等多个技术领域。
CyC2018_CS-Notes,has_related_repository,https://github.com/sparanoid/chinese-copywriting-guidelines
CyC2018_CS-Notes,has_related_repository,https://github.com/CyC2018/Text-Typesetting
sdmg15_Best-websites-a-programmer-should-visit,has_description,"A curated list of useful websites for programmers, covering a wide range of topics including learning resources, coding practice, news, tools, interview preparation, and career development."
sdmg15_Best-websites-a-programmer-should-visit,has_related_repository,https://github.com/tuteng/Best-websites-a-programmer-should-visit-zh
ggml-org_llama.cpp,has_description,llama.cpp 是一个用 C/C++ 实现的大语言模型推理项目，旨在以最少的设置在各种硬件上实现最先进的性能。它是 ggml 库新功能开发的主要平台。
ggml-org_llama.cpp,has_related_repository,https://github.com/ggml-org/ggml
louislam_uptime-kuma,has_description,Uptime Kuma 是一个易于使用的自托管监控工具，用于监控 HTTP(s)、TCP、Ping、DNS 等多种服务的运行状态，并提供通知功能。
google-gemini_gemini-cli,has_description,Gemini CLI 是一个开源 AI 代理，将 Gemini 的强大功能直接带入终端，为用户提供从提示到模型的最直接路径。
google-gemini_gemini-cli,has_related_repository,https://github.com/GoogleCloudPlatform/vertex-ai-creative-studio/tree/main/experiments/mcp-genmedia
google-gemini_gemini-cli,has_related_repository,https://github.com/google-github-actions/run-gemini-cli
python_cpython,has_description,这是 Python 3.15.0 alpha 5 版本的源代码仓库，包含 CPython 解释器的完整源代码和构建说明。
freeCodeCamp_freeCodeCamp,has_description,freeCodeCamp.org 是一个友好的社区，提供免费的自学全栈 Web 开发和机器学习课程，包含数千个交互式编码挑战，旨在帮助忙碌的成年人转型进入科技行业。
fastapi_fastapi,has_description,"FastAPI is a modern, high-performance web framework for building APIs with Python based on standard Python type hints. It is designed to be easy to learn, fast to code, and ready for production."
fastapi_fastapi,has_related_repository,https://github.com/OAI/OpenAPI-Specification
fastapi_fastapi,has_related_repository,https://github.com/swagger-api/swagger-ui
fastapi_fastapi,has_related_repository,https://github.com/Rebilly/ReDoc
fastapi_fastapi,has_related_repository,https://github.com/hugapi/hug
fastapi_fastapi,has_related_repository,https://github.com/tiangolo/typer
fastapi_fastapi,has_related_repository,https://github.com/encode/starlette
fastapi_fastapi,has_related_repository,https://github.com/pydantic/pydantic
fastapi_fastapi,has_related_repository,https://github.com/encode/uvicorn
fastapi_fastapi,has_related_repository,https://github.com/strawberry-graphql/strawberry
microsoft_terminal,has_description,该仓库包含 Windows Terminal、Windows Terminal Preview、Windows 控制台主机 (conhost.exe) 以及两者共享组件的源代码。Windows Terminal 是一款现代化、功能丰富的命令行终端应用程序，支持标签页、富文本、主题配置等特性。
microsoft_terminal,has_related_repository,https://github.com/MicrosoftDocs/terminal
microsoft_terminal,has_related_repository,https://github.com/MicrosoftDocs/Console-Docs
microsoft_terminal,has_related_repository,https://github.com/Microsoft/Cascadia-Code
vitejs_vite,has_description,"Vite is a next-generation frontend build tool that provides instant server start, lightning fast hot module replacement, and an optimized production build using Rollup."
vitejs_vite,has_related_repository,https://rollupjs.org
axios_axios,has_description,"Promise based HTTP client for the browser and node.js. It is a popular library for making HTTP requests with features like interceptors, request cancellation, and automatic JSON handling."
x1xhlol_system-prompts-and-models-of-ai-tools,has_description,"一个包含超过30,000行代码的AI工具系统提示词和模型集合，旨在提供对其结构和功能的深入洞察。"
ocornut_imgui,has_description,"Dear ImGui is a bloat-free graphical user interface library for C++ designed for fast iterations and empowering programmers to create content creation tools, visualization/debug tools, and integration in game engines and real-time 3D applications."
ocornut_imgui,has_related_repository,https://github.com/ocornut/imgui_test_engine
ocornut_imgui,has_related_repository,https://github.com/stripe2933/imgui-module
ocornut_imgui,has_related_repository,https://github.com/cimgui/cimgui
ocornut_imgui,has_related_repository,https://github.com/dearimgui/dear_bindings
ocornut_imgui,has_related_repository,https://github.com/epezent/implot
tailwindlabs_tailwindcss,has_description,A utility-first CSS framework for rapidly building custom user interfaces.
n8n-io_n8n,has_description,"n8n is a workflow automation platform that gives technical teams the flexibility of code with the speed of no-code, featuring 400+ integrations, native AI capabilities, and a fair-code license for full control over data and deployments."
ripienaar_free-for-dev,has_description,"A curated list of software (SaaS, PaaS, IaaS, etc.) and other offerings that provide free tiers for developers and open source authors, specifically useful for infrastructure developers like System Administrators and DevOps Practitioners."
ripienaar_free-for-dev,has_related_repository,https://github.com/ripienaar/free-for-dev
oven-sh_bun,has_description,Bun 是一个用于 JavaScript 和 TypeScript 应用程序的一体化工具包，包含一个快速的 JavaScript 运行时（作为 Node.js 的直接替代品）、测试运行器、脚本运行器和包管理器。
goldbergyoni_nodebestpractices,has_description,Node.js Best Practices 是一个总结和整理了 Node.js 最佳实践、风格指南和架构技巧的综合性资源库。它包含了超过 80 条最佳实践，涵盖了项目结构、错误处理、代码风格、测试、生产部署、安全和性能等多个方面，并持续更新。
goldbergyoni_nodebestpractices,has_related_repository,https://github.com/practicajs/practica
